Case,super_admin_status,super_admin_outcome,admin_status,admin_outcome,user_status,user_outcome
Incoming Friend Requests,200,pass,200,pass,200,pass
Refresh Token,200,pass,200,pass,200,pass
Admin Shutdown Room,200,pass,200,fail,403,pass
Admin Room Make Admin,200,pass,200,fail,403,pass
Admin Federation Blacklist,200,pass,200,fail,403,pass
Admin Federation Cache Clear,200,pass,200,fail,403,pass
Admin Reset Connection,404,pass,404,pass,403,pass
Search v3,200,pass,200,pass,200,pass
Room Context,,pass,,pass,,pass
Room Hierarchy,,pass,,pass,,pass
Create Key Backup,200,pass,200,pass,200,pass
Get Key Backup,200,pass,200,pass,200,pass
Send To Device,,pass,,pass,,pass
OpenID Userinfo,200,pass,200,pass,200,pass
Events,200,pass,200,pass,200,pass
Room Version,200,pass,200,pass,200,pass
VoIP TURN Server,200,pass,200,pass,200,pass
Admin User Login,200,pass,200,fail,403,pass
Admin User Logout,200,pass,200,fail,403,pass
Admin Batch Users,200,pass,200,pass,403,pass
Federation Version,200,pass,200,pass,200,pass
Federation Backfill,200,pass,200,pass,200,pass
Federation Get Event,200,pass,200,pass,200,pass
Federation Event Auth,200,pass,200,pass,200,pass
Federation Get Joining Rules,200,pass,200,pass,200,pass
Federation Keys Query,400,pass,400,pass,400,pass
Federation Keys Claim,400,pass,400,pass,400,pass
Federation Keys Upload,400,pass,400,pass,400,pass
Federation Make Join,200,pass,200,pass,200,pass
Federation Make Leave,200,pass,200,pass,200,pass
Federation Members,401,skip,401,skip,401,skip
Federation Public Rooms,200,pass,200,pass,200,pass
Federation Query Directory,200,pass,200,pass,200,pass
Federation Query Profile,200,pass,200,pass,200,pass
Federation Room Auth,403,skip,403,skip,403,skip
Federation State,200,pass,200,pass,200,pass
Federation State IDs,200,pass,200,pass,200,pass
Admin Create Registration Token Negative,,skip,403,pass,403,pass
Media Config v3,200,pass,200,pass,200,pass
Media Config r0,200,pass,200,pass,200,pass
Media Upload r0,,pass,,pass,,pass
Media Config v1,200,pass,200,pass,200,pass
Room Summary Heroes,,pass,,pass,,pass
Room Summary Stats Recalculate,,pass,,pass,,pass
Room Summary Sync,,pass,,pass,,pass
Room Summary Unread Clear,,pass,,pass,,pass
Space Hierarchy,200,pass,200,pass,200,pass
Timestamp to Event,,pass,,pass,,pass
User Threads,,pass,,pass,,pass
List Background Updates,200,pass,200,pass,403,pass
List Event Reports,200,pass,200,pass,403,pass
Room Forward Extremities,200,pass,200,pass,403,pass
Keys Query,,pass,,pass,,pass
Keys Claim,,pass,,pass,,pass
Keys Changes,,pass,,pass,,pass
Keys Upload Signature,,pass,,pass,,pass
Get Key Changes,,pass,,pass,,pass
Create Key Backup Version,200,pass,200,pass,200,pass
Get Key Backup Version,200,pass,200,pass,200,pass
Delete Key Backup Version,,pass,,pass,,pass
Room Keys Backup,,pass,,pass,,pass
Get Room Keys Backup,,pass,,pass,,pass
Get Room Key,,pass,,pass,,pass
Delete Room Key,,pass,,pass,,pass
Start Key Verification,,pass,,pass,,pass
Accept Key Verification,,pass,,pass,,pass
Complete Key Verification,,pass,,pass,,pass
Cancel Key Verification,,pass,,pass,,pass
Create Room Key Request,,pass,,pass,,pass
Get Room Key Requests,,pass,,pass,,pass
Delete Room Key Request,,pass,,pass,,pass
Get Thread v1,,pass,,pass,,pass
Get User Threads,,pass,,pass,,pass
Thread Search,,pass,,pass,,pass
Get Thread ID,,pass,,pass,,pass
Get State Event,,pass,,pass,,pass
Room Typing,,pass,,pass,,pass
Room Read Markers,,pass,,pass,,pass
List User Sessions,200,pass,200,pass,403,pass
Invalidate User Session,,skip,,skip,,skip
Reset User Password,,skip,,skip,,skip
Admin Deactivate,,skip,,skip,,skip
Admin Room Delete,,skip,,skip,,skip
Identity Store Invite,,pass,,pass,,pass
Identity Get Published Keys,,pass,,pass,,pass
Get Incoming Friend Requests,,pass,,pass,,pass
Get Outgoing Friend Requests,,pass,,pass,,pass
Send Friend Request,,pass,,pass,,pass
Admin Get User,200,pass,200,pass,403,pass
Admin List User Tokens,200,pass,200,pass,403,pass
Admin Get Room,200,pass,200,pass,403,pass
Rust Synapse Version,200,pass,403,pass,403,pass
Admin Room Event,200,pass,200,pass,403,pass
Admin Room Token Sync,200,pass,200,pass,403,pass
Get Receipts,200,pass,200,pass,200,pass
Get Space Rooms,200,pass,200,pass,200,pass
Send Server Notice,200,pass,403,pass,403,pass
Admin Stats Users,200,pass,200,pass,403,pass
Admin Stats Rooms,200,pass,200,pass,403,pass
Report Event,200,pass,200,pass,200,pass
Search User Directory,200,pass,200,pass,200,pass
User Directory Profile,200,pass,200,pass,200,pass
Create Room Key Share Request,200,pass,200,pass,200,pass
Get Room Key Share Requests,200,pass,200,pass,200,pass
Admin Delete Devices,200,pass,403,pass,403,pass
Get Client Config,200,pass,200,pass,200,pass
Admin List Room Aliases,200,pass,200,pass,403,pass
Get Room Invites,200,pass,200,pass,200,pass
Get Rate Limit,200,pass,200,pass,403,pass
Admin Version,200,pass,200,pass,403,pass
Create Friend Group,200,pass,200,pass,200,pass
List Friend Groups,200,pass,200,pass,200,pass
Get Vault Data,200,pass,200,pass,200,pass
