table_name,column_name,constraint_type,constraint_name
device_keys,key_id,UNIQUE,device_keys_user_id_device_id_key_id_key
device_signatures,user_id,FOREIGN KEY,fk_device_signatures_user_id
device_signatures,id,PRIMARY KEY,device_signatures_pkey
device_signatures,user_id,UNIQUE,device_signatures_unique
device_signatures,device_id,UNIQUE,device_signatures_unique
device_signatures,algorithm,UNIQUE,device_signatures_unique
device_signatures,target_device_id,UNIQUE,device_signatures_unique
device_signatures,target_user_id,UNIQUE,device_signatures_unique
device_signing_keys,id,PRIMARY KEY,device_signing_keys_pkey
device_signing_keys,device_id,UNIQUE,device_signing_keys_user_id_device_id_key
device_signing_keys,user_id,UNIQUE,device_signing_keys_user_id_device_id_key
devices,user_id,FOREIGN KEY,devices_user_id_fkey
devices,user_id,PRIMARY KEY,devices_pkey
devices,device_id,PRIMARY KEY,devices_pkey
e2ee_key_requests,id,PRIMARY KEY,e2ee_key_requests_pkey
e2ee_key_requests,request_id,UNIQUE,e2ee_key_requests_request_id_key
e2ee_key_requests,request_id,UNIQUE,e2ee_key_requests_request_id_user_id_device_id_key
e2ee_key_requests,user_id,UNIQUE,e2ee_key_requests_request_id_user_id_device_id_key
e2ee_key_requests,device_id,UNIQUE,e2ee_key_requests_request_id_user_id_device_id_key
e2ee_secret_storage_keys,user_id,FOREIGN KEY,fk_e2ee_secret_storage_keys_user_id
e2ee_secret_storage_keys,id,PRIMARY KEY,e2ee_secret_storage_keys_pkey
e2ee_secret_storage_keys,user_id,UNIQUE,e2ee_secret_storage_keys_key_id_user_id_key
e2ee_secret_storage_keys,key_id,UNIQUE,e2ee_secret_storage_keys_key_id_user_id_key
e2ee_ssss,user_id,PRIMARY KEY,e2ee_ssss_pkey
e2ee_stored_secrets,user_id,FOREIGN KEY,fk_e2ee_stored_secrets_user_id
e2ee_stored_secrets,id,PRIMARY KEY,e2ee_stored_secrets_pkey
e2ee_stored_secrets,user_id,UNIQUE,e2ee_stored_secrets_user_id_secret_name_key
e2ee_stored_secrets,secret_name,UNIQUE,e2ee_stored_secrets_user_id_secret_name_key
email_verification_tokens,user_id,FOREIGN KEY,fk_email_verification_tokens_user_id
email_verification_tokens,id,PRIMARY KEY,email_verification_tokens_pkey
email_verification_tokens,token,UNIQUE,email_verification_tokens_token_key
event_receipts,room_id,FOREIGN KEY,fk_event_receipts_room_id
event_receipts,user_id,FOREIGN KEY,fk_event_receipts_user_id
event_receipts,id,PRIMARY KEY,event_receipts_pkey
event_receipts,room_id,UNIQUE,event_receipts_event_room_user_type_unique
